#posizione_array_vecchi fenotipo:
0 11
1 11
2 11
3 11
4 11
5 11
6 11
7 11
8 11
9 11
10 11
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
19 11
20 11
21 11
22 11
23 11
24 11
25 11
26 11
27 11
28 11
29 11
30 11
31 11
32 11
33 11
34 11
35 11
36 11
37 11
38 11
39 11
40 11
41 11
42 11
43 11
44 11
45 11
46 11
47 11
48 11
49 11
50 11
51 11
52 11
53 11
54 11
55 11
56 11
57 11
58 11
59 11
60 11
61 11
62 11
63 11
64 11
65 11
66 11
67 11
68 11
69 11
70 11
71 11
72 11
73 11
74 11
75 11
76 11
77 11
78 11
79 11
80 11
81 11
82 11
83 11
84 11
85 11
86 11
87 11
88 11
89 11
90 11
91 11
92 11
93 11
94 11
95 11
96 11
97 11
98 11
99 11
#posizione_array_appoggio fenotipo:
0 11
1 11
2 11
3 11
4 11
5 11
6 11
7 11
8 11
9 11
10 11
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
19 11
20 11
21 11
22 11
23 11
24 11
25 11
26 11
27 11
28 11
29 11
30 11
31 11
32 11
33 11
34 11
35 11
36 11
37 11
38 11
39 11
40 11
41 11
42 11
43 11
44 11
45 11
46 11
47 11
48 11
49 11
50 11
51 11
52 11
53 11
54 11
55 11
56 11
57 11
58 11
59 11
60 11
61 11
62 11
63 11
64 11
65 11
66 11
67 11
68 11
69 11
70 11
71 11
72 11
73 11
74 11
75 11
76 11
77 11
78 11
79 11
80 11
81 11
82 11
83 11
84 11
85 11
86 11
87 11
88 11
89 11
90 11
91 11
92 11
93 11
94 11
95 11
96 11
97 11
98 11
99 11
#posizione_array_giovani fenotipo:
0 11
1 11
2 11
3 11
4 11
5 11
6 11
7 11
8 11
9 11
10 11
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
19 11
20 11
21 11
22 11
23 11
24 11
25 11
26 11
27 11
28 11
29 11
30 11
31 11
32 11
33 11
34 11
35 11
36 11
37 11
38 11
39 11
40 11
41 11
42 11
43 11
44 11
45 11
46 11
47 11
48 11
49 11
50 11
51 11
52 11
53 11
54 11
55 11
56 11
57 11
58 11
59 11
60 11
61 11
62 11
63 11
64 11
65 11
66 11
67 11
68 11
69 11
70 11
71 11
72 11
73 11
74 11
75 11
76 11
77 11
78 11
79 11
80 11
81 11
82 11
83 11
84 11
85 11
86 11
87 11
88 11
89 11
90 11
91 11
92 11
93 11
94 11
95 11
96 11
97 11
98 11
99 11
#array_numeri_casuali:
98
42
50
96
62
56
21
80
35
78
55
29
18
68
65
33
23
86
54
1
57
81
28
14
12
8
87
69
5
13
82
36
27
19
7
89
90
70
16
92
51
61
79
9
10
84
31
37
46
38
0
67
2
64
34
59
26
60
30
71
83
6
25
39
22
77
63
48
58
73
66
97
47
45
76
11
4
3
24
15
75
91
41
94
43
52
74
17
44
95
49
32
40
99
20
93
72
85
53
88
#individuo fitness:
0  0.000000
1  0.000000
2  0.000000
3  0.000000
4  0.000000
5  0.000000
6  0.000000
7  0.000000
8  0.000000
9  0.000000
10  0.000000
11  0.000000
12  0.000000
13  0.000000
14  0.000000
15  0.000000
16  0.000000
17  0.000000
18  0.000000
19  0.000000
20  0.000000
21  0.000000
22  0.000000
23  0.000000
24  0.000000
25  0.000000
26  0.000000
27  0.000000
28  0.000000
29  0.000000
30  0.000000
31  0.000000
32  0.000000
33  0.000000
34  0.000000
35  0.000000
36  0.000000
37  0.000000
38  inf
39  inf
40  inf
41  inf
42  inf
43  inf
44  inf
45  inf
46  inf
47  inf
48  inf
49  inf
50  inf
51  inf
52  inf
53  inf
54  inf
55  inf
56  inf
57  inf
58  inf
59  inf
60  inf
61  inf
62  inf
63  inf
64  inf
65  inf
66  inf
67  inf
68  inf
69  inf
70  inf
71  inf
72  inf
73  inf
74  inf
75  inf
76  inf
77  inf
78  inf
79  inf
80  inf
81  inf
82  inf
83  inf
84  inf
85  inf
86  inf
87  inf
88  inf
89  inf
90  inf
91  inf
92  inf
93  inf
94  inf
95  inf
96  inf
97  inf
98  inf
99  inf
fitness_media:  -nan
#fenotipo popolazione:
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 100
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
