#fenotipo distribuzione:
0 0.620000
1 0.000000
2 0.000000
3 0.000000
4 0.000000
5 0.380000
6 0.000000
7 0.000000
8 0.000000
9 0.000000
10 0.000000
11 0.000000
12 0.000000
13 0.000000
14 0.000000

#fitness_statica valore:
0 1.000000
1 0.904837
2 0.818731
3 0.740818
4 0.670320
5 0.606531
6 0.548812
7 0.496585
8 0.449329
9 0.406570
10 0.367879
11 0.332871
12 0.301194
13 0.272532
14 0.246597

#fitness valore:
0 0.000001
1 0.000001
2 0.000001
3 0.000001
4 0.000001
5 0.000002
6 0.000004
7 0.000012
8 0.000035
9 0.000112
10 0.000364
11 0.001155
12 0.003452
13 0.009465
14 0.023370
